firstName,lastName,,Tm,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Peyton,Watson,,DEN,186,29,59,11,20,8,29,37,11,2,11,8,14,75
Blake,Wesley,,SAS,669,69,215,26,44,11,70,81,99,25,5,65,67,184
Russell,Westbrook,,TOT,2126,432,991,206,314,89,334,423,551,76,33,255,162,1159
Russell,Westbrook,,LAL,1491,304,729,156,238,59,262,321,391,53,23,184,121,827
Russell,Westbrook,,LAC,635,128,262,50,76,30,72,102,160,23,10,71,41,332
Coby,White,,CHI,1730,263,594,61,70,16,196,212,204,54,6,74,122,715
Derrick,White,,BOS,2319,350,758,168,192,52,241,293,321,54,76,95,177,1017
Jack,White,,DEN,66,8,19,2,3,6,11,17,4,3,2,2,9,21
Joe,Wieskamp,,TOR,50,3,14,0,0,0,4,4,3,0,0,1,3,9
Aaron,Wiggins,,OKC,1297,186,363,59,71,68,142,210,80,39,15,55,110,479
Andrew,Wiggins,,GSW,1190,250,529,44,72,61,125,186,85,45,28,48,107,633
Lindell,Wigginton,,MIL,87,18,37,8,9,0,7,7,14,0,2,12,7,50
Alondes,Williams,,BRK,5,0,0,0,0,0,1,1,0,0,0,2,1,0
Donovan,Williams,,ATL,4,2,5,0,0,0,2,2,0,0,0,0,0,4
Grant,Williams,,BOS,2045,216,476,94,122,87,276,363,131,41,31,82,192,641
Jalen,Williams,,OKC,2276,414,794,155,191,84,253,337,248,103,35,123,191,1056
Jaylin,Williams,,OKC,914,102,234,38,54,44,197,241,76,28,12,37,111,288
Jeenathan,Williams,,POR,127,24,39,2,3,10,5,15,10,3,2,4,13,53
Kenrich,Williams,,OKC,1206,179,346,17,39,97,164,261,105,45,14,32,112,425
Mark,Williams,,CHO,828,160,251,67,97,93,211,304,18,28,45,40,94,387
Patrick,Williams,,CHI,2323,314,677,90,105,78,249,327,100,72,70,101,147,833
Robert,Williams,,BOS,824,127,170,25,41,104,188,292,50,22,48,34,68,279
Vince,Williams,Jr.,MEM,105,12,40,2,2,4,11,15,4,6,2,5,12,30
Ziaire,Williams,,MEM,561,84,196,17,22,16,63,79,35,14,6,37,58,210
Zion,Williamson,,NOP,956,285,469,177,248,58,144,202,133,32,16,99,65,754
Dylan,Windler,,CLE,10,2,3,0,0,0,0,0,1,1,0,1,0,5
Justise,Winslow,,POR,776,81,198,20,28,49,96,145,98,30,11,43,89,196
James,Wiseman,,TOT,867,189,339,68,97,73,194,267,30,7,27,51,108,450
James,Wiseman,,GSW,262,59,94,26,38,18,55,73,14,3,7,14,39,145
James,Wiseman,,DET,605,130,245,42,59,55,139,194,16,4,20,37,69,305
Christian,Wood,,DAL,1738,396,769,217,281,87,404,491,121,30,72,121,169,1114
Delon,Wright,,WAS,1221,138,291,52,60,58,122,180,194,92,17,44,59,369
McKinley,Wright,IV,DAL,335,46,98,13,19,9,38,47,58,8,5,19,24,114
Gabe,York,,IND,56,8,21,2,2,0,6,6,5,2,0,0,5,24
Thaddeus,Young,,TOR,795,108,198,18,26,71,95,166,75,54,5,42,88,240
Trae,Young,,ATL,2541,597,1390,566,639,56,161,217,741,80,9,300,104,1914
Omer,Yurtseven,,MIA,83,16,27,5,6,8,15,23,2,2,2,4,16,40
Cody,Zeller,,MIA,217,37,59,24,35,25,39,64,10,3,4,14,33,98
Ivica,Zubac,,LAC,2170,326,514,166,238,236,520,756,77,29,98,117,219,818
